institution,name,rating,cellphone,email,notes,institution_conflicts,team_conflicts
WADL,Chris Burch, 3, 3333333, chris.burch@wadl.org, available anytime anywhere
WADL,Anish Badgeri, 3, 3333333, anish.badgeri@wadl.org, available anytime anywhere
WADL,Chelsea Moran, 3, 3333333, chelsea.moran@wadl.org, available anytime anywhere
WADL,Emma Boogaerdt, 3, 3333333, emma.boogaerdt@wadl.org, available anytime anywhere
WADL,David Forster, 3, 3333333, david.forster@wadl.org, available anytime anywhere
WADL,Ben Manifold, 3, 3333333, ben.manifold@wadl.org, available anytime anywhere
WADL,Xavier Evans, 3, 3333333, xavier.evans@wadl.org, available anytime anywhere
WADL,Katie McAllister, 3, 3333333, katie.mcallister@wadl.org, available anytime anywhere
WADL,Josh Cahill, 3, 3333333, josh.cahill@wadl.org, available anytime anywhere
WADL,Ali Matthews, 3, 3333333, ali.matthews@wadl.org, available anytime anywhere
WADL,Jordi Lockhart, 3, 3333333, jordi.lockhart@wadl.org, available anytime anywhere
